ID,Title,Tier,Severity,Methodology,Component,Category,DREAD,DREAD Tier,Cross-boundary,ATT&CK ID,ATT&CK Tactic,SOC2,ISO27001,PCI-DSS,Description
t_0d51c5cc,Stored data tampering via injection,Finding,Critical,STRIDE,Database,Tampering,47/50,Critical,No,T1565,Impact,CC7.1,A.14.1.2,6.2.4,SQL/NoSQL/command injection alters records or schema.
t_1bcd3b78,Broken access control / missing authz check,Finding,Critical,STRIDE,Database,Elevation of Privilege,47/50,Critical,No,T1068,Privilege Escalation,CC6.3,A.9.2.3,7.1,Endpoints fail to verify the caller has permission for the action.
t_18e4fced,Privilege transit across boundary: REST API → Database,Finding,Critical,STRIDE,Database,Elevation of Privilege,49/50,Critical,Yes,T1548,Privilege Escalation,CC6.3,A.9.4.1,7.1,"If the receiver in 'Data tier' acts on behalf of the caller, attackers compromising 'Application tier' may inherit the receiver's privileges (confused-deputy)."
t_9b2a7186,Broken access control / missing authz check,Finding,Critical,STRIDE,REST API,Elevation of Privilege,49/50,Critical,No,T1068,Privilege Escalation,CC6.3,A.9.2.3,7.1,Endpoints fail to verify the caller has permission for the action.
t_f2a15089,Privilege transit across boundary: User → REST API,Finding,Critical,STRIDE,REST API,Elevation of Privilege,48/50,Critical,Yes,T1548,Privilege Escalation,CC6.3,A.9.4.1,7.1,"If the receiver in 'Application tier' acts on behalf of the caller, attackers compromising 'Internet' may inherit the receiver's privileges (confused-deputy)."
t_5fa06763,Data-in-transit modification,Finding,High,STRIDE,Database,Tampering,35/50,High,No,T1565,Impact,CC7.1,A.14.1.2,6.2.4,Attacker on the network path alters request/response payloads.
t_411c6910,Sensitive data exposure in transit,Finding,High,STRIDE,Database,Information Disclosure,36/50,High,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,"PII, secrets, or tokens transmitted over unencrypted channels."
t_26282f70,Sensitive data exposure at rest,Finding,High,STRIDE,Database,Information Disclosure,36/50,High,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,Stored PII / secrets accessible without proper authorization.
t_5d77835c,Insecure direct object reference (IDOR),Finding,High,STRIDE,Database,Information Disclosure,38/50,High,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,User can access another user's resources by guessing IDs.
t_b061177d,Privilege escalation via mass assignment,Finding,High,STRIDE,Database,Elevation of Privilege,37/50,High,No,T1068,Privilege Escalation,CC6.3,A.9.2.3,7.1,"User submits extra fields (e.g., role=admin) and they bind to the model."
t_7d375d94,Unencrypted flow: REST API → Database,Finding,High,STRIDE,Database,Information Disclosure,42/50,Critical,No,T1040,Credential Access,CC6.7,A.10.1.1,4.1,Data flow '' uses TCP without encryption.
t_73c76fc1,Unauthenticated flow: REST API → Database,Finding,High,STRIDE,Database,Spoofing,41/50,Critical,No,T1190,Initial Access,CC6.1,A.9.4.2,8.2,Data flow has no authentication mechanism declared.
t_c203589a,Trust-boundary crossing without strong authn: REST API → Database,Finding,High,STRIDE,Database,Spoofing,41/50,Critical,Yes,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,Flow '' crosses trust boundary 'Application tier' → 'Data tier'. Caller identity must be re-verified at the boundary; existing trust does not transit.
t_8d8735d9,Cross-boundary input not validated: REST API → Database,Finding,High,STRIDE,Database,Tampering,41/50,Critical,Yes,T1190,Initial Access,CC7.1,A.14.2.1,6.2.4,"Data crossing the trust boundary into 'Data tier' must be treated as untrusted, even if the source is internal. Implicit trust is the most common cause of injection / SSRF / deserialization bugs."
t_2431e22c,Cross-boundary data exposure risk: REST API → Database,Finding,High,STRIDE,Database,Information Disclosure,42/50,Critical,Yes,T1552,Credential Access,CC6.1,A.8.2.3,3.4,Information leaving 'Application tier' into 'Data tier' may include data the receiving zone is not authorized to see. Cross-boundary egress is a common data-leak surface.
t_55d215f5,Sensitive data exposure in transit,Finding,High,STRIDE,REST API,Information Disclosure,40/50,Critical,No,T1040,Credential Access,CC6.7,A.10.1.1,4.1,"PII, secrets, or tokens transmitted over unencrypted channels."
t_46404fd4,Insecure direct object reference (IDOR),Finding,High,STRIDE,REST API,Information Disclosure,42/50,Critical,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,User can access another user's resources by guessing IDs.
t_5774f6fd,Application-layer DDoS,Finding,High,STRIDE,REST API,Denial of Service,39/50,High,No,T1499,Impact,A1.1 A1.2,A.17.1.1,6.3,"Attacker floods expensive endpoints (e.g., search, login)."
t_dd527c41,Privilege escalation via mass assignment,Finding,High,STRIDE,REST API,Elevation of Privilege,41/50,Critical,No,T1068,Privilege Escalation,CC6.3,A.9.2.3,7.1,"User submits extra fields (e.g., role=admin) and they bind to the model."
t_a5b491d0,Unauthenticated flow: User → REST API,Finding,Critical,STRIDE,REST API,Spoofing,43/50,Critical,No,T1190,Initial Access,CC6.1,A.9.4.2,8.2,Data flow has no authentication mechanism declared.
t_e463cd47,Trust-boundary crossing without strong authn: User → REST API,Finding,Critical,STRIDE,REST API,Spoofing,43/50,Critical,Yes,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,Flow '' crosses trust boundary 'Internet' → 'Application tier'. Caller identity must be re-verified at the boundary; existing trust does not transit.
t_9a40066c,Cross-boundary input not validated: User → REST API,Finding,Critical,STRIDE,REST API,Tampering,43/50,Critical,Yes,T1190,Initial Access,CC7.1,A.14.2.1,6.2.4,"Data crossing the trust boundary into 'Application tier' must be treated as untrusted, even if the source is internal. Implicit trust is the most common cause of injection / SSRF / deserialization bugs."
t_7b97bc5d,Cross-boundary data exposure risk: User → REST API,Finding,Critical,STRIDE,REST API,Information Disclosure,44/50,Critical,Yes,T1552,Credential Access,CC6.1,A.8.2.3,3.4,Information leaving 'Internet' into 'Application tier' may include data the receiving zone is not authorized to see. Cross-boundary egress is a common data-leak surface.
t_22f4ad7e,Resource exhaustion via unbounded input,Finding,Medium,STRIDE,REST API,Denial of Service,29/50,Medium,No,T1499,Impact,A1.1 A1.2,A.17.1.1,6.3,Large payloads or unbounded loops exhaust CPU/memory.
t_cfbafc9c,Algorithmic complexity attack,Finding,Medium,STRIDE,REST API,Denial of Service,29/50,Medium,No,T1499,Impact,A1.1 A1.2,A.17.1.1,6.3,"Crafted inputs trigger worst-case algorithm behavior (e.g., regex DoS)."
t_f4b2e6bc,Unencrypted flow: REST API → Database,Finding,High,LINDDUN,Database,Disclosure of information,42/50,Critical,No,T1040,Credential Access,CC6.7,A.10.1.1,4.1,Data flow '' uses TCP without encryption.
t_4ea18c9a,Unauthenticated flow: REST API → Database,Finding,High,LINDDUN,Database,Stage 3 — Application Decomposition,41/50,Critical,No,T1190,Initial Access,CC6.1,A.9.4.2,8.2,Data flow has no authentication mechanism declared.
t_28e38ea5,Cross-boundary PII transfer: REST API → Database,Finding,High,LINDDUN,Database,Disclosure of information,41/50,Critical,Yes,T1552,Credential Access,CC6.1,A.8.2.3,3.4,"Personal data crossing trust boundaries triggers data-protection obligations (purpose, consent, residency, processor agreements)."
t_99816b42,Unauthenticated flow: User → REST API,Finding,Critical,LINDDUN,REST API,Stage 3 — Application Decomposition,43/50,Critical,No,T1190,Initial Access,CC6.1,A.9.4.2,8.2,Data flow has no authentication mechanism declared.
t_2829fa3c,Cross-boundary PII transfer: User → REST API,Finding,Critical,LINDDUN,REST API,Disclosure of information,43/50,Critical,Yes,T1552,Credential Access,CC6.1,A.8.2.3,3.4,"Personal data crossing trust boundaries triggers data-protection obligations (purpose, consent, residency, processor agreements)."
t_4157f055,Account enumeration via differential responses,Finding,Medium,LINDDUN,REST API,Detectability,30/50,High,No,T1213,Collection,CC6.1,A.18.1.4,3.4,Login / signup / password reset reveal whether an account exists.
t_8fdc7329,Unencrypted flow: REST API → Database,Finding,High,PASTA,Database,Disclosure of information,42/50,Critical,No,T1040,Credential Access,CC6.7,A.10.1.1,4.1,Data flow '' uses TCP without encryption.
t_16f15f6d,Unauthenticated flow: REST API → Database,Finding,High,PASTA,Database,Stage 3 — Application Decomposition,41/50,Critical,No,T1190,Initial Access,CC6.1,A.9.4.2,8.2,Data flow has no authentication mechanism declared.
t_2f08cef1,Implicit trust across decomposition boundary: REST API → Database,Finding,High,PASTA,Database,Stage 3 — Application Decomposition,41/50,Critical,Yes,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,Decomposition mapped a boundary between 'Application tier' and 'Data tier' but implicit trust persists across it.
t_2f918c3b,Unauthenticated flow: User → REST API,Finding,Critical,PASTA,REST API,Stage 3 — Application Decomposition,43/50,Critical,No,T1190,Initial Access,CC6.1,A.9.4.2,8.2,Data flow has no authentication mechanism declared.
t_80372620,Implicit trust across decomposition boundary: User → REST API,Finding,Critical,PASTA,REST API,Stage 3 — Application Decomposition,43/50,Critical,Yes,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,Decomposition mapped a boundary between 'Internet' and 'Application tier' but implicit trust persists across it.
t_9b365d9c,Config / secret tampering,Standard check,High,STRIDE,Database,Tampering,35/50,High,No,T1565,Impact,CC7.1,A.14.1.2,6.2.4,Unauthorized changes to runtime config alter security behavior.
t_6c0d5533,Log tampering,Standard check,High,STRIDE,Database,Repudiation,35/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,An attacker with access modifies or deletes audit trails.
t_0a608c3b,Application-layer DDoS,Standard check,High,STRIDE,Database,Denial of Service,35/50,High,No,T1499,Impact,A1.1 A1.2,A.17.1.1,6.3,"Attacker floods expensive endpoints (e.g., search, login)."
t_bdd5028f,Authentication bypass via credential stuffing,Standard check,High,STRIDE,REST API,Spoofing,39/50,High,No,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,Attackers reuse leaked credentials to impersonate legitimate users.
t_2e559959,Session token hijacking,Standard check,High,STRIDE,REST API,Spoofing,39/50,High,No,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,Attacker steals or predicts a session token to impersonate a user.
t_dcbfdd37,API key / service identity spoofing,Standard check,High,STRIDE,REST API,Spoofing,39/50,High,No,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,An attacker obtains or forges an API key to act as a trusted service.
t_ad77f6ef,Log tampering,Standard check,High,STRIDE,REST API,Repudiation,39/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,An attacker with access modifies or deletes audit trails.
t_205e8aeb,Sensitive data exposure at rest,Standard check,High,STRIDE,REST API,Information Disclosure,40/50,Critical,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,Stored PII / secrets accessible without proper authorization.
t_8784a895,Authentication bypass via credential stuffing,Standard check,High,STRIDE,User,Spoofing,36/50,High,No,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,Attackers reuse leaked credentials to impersonate legitimate users.
t_e9f92af8,Session token hijacking,Standard check,High,STRIDE,User,Spoofing,36/50,High,No,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,Attacker steals or predicts a session token to impersonate a user.
t_413319f7,API key / service identity spoofing,Standard check,High,STRIDE,User,Spoofing,36/50,High,No,T1110,Credential Access,CC6.1 CC6.2,A.9.2.1 A.9.4.2,8.2 8.6,An attacker obtains or forges an API key to act as a trusted service.
t_65902510,Insufficient audit logging,Standard check,Medium,STRIDE,Database,Repudiation,25/50,Medium,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,Critical user actions cannot be reliably attributed after the fact.
t_294f2bb9,Verbose error messages / stack traces,Standard check,Medium,STRIDE,Database,Information Disclosure,26/50,Medium,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,Error responses leak implementation details to attackers.
t_e2a0590b,Resource exhaustion via unbounded input,Standard check,Medium,STRIDE,Database,Denial of Service,25/50,Medium,No,T1499,Impact,A1.1 A1.2,A.17.1.1,6.3,Large payloads or unbounded loops exhaust CPU/memory.
t_dbbc636c,Algorithmic complexity attack,Standard check,Medium,STRIDE,Database,Denial of Service,25/50,Medium,No,T1499,Impact,A1.1 A1.2,A.17.1.1,6.3,"Crafted inputs trigger worst-case algorithm behavior (e.g., regex DoS)."
t_06a88719,Insufficient audit logging,Standard check,Medium,STRIDE,REST API,Repudiation,29/50,Medium,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,Critical user actions cannot be reliably attributed after the fact.
t_388aee49,Verbose error messages / stack traces,Standard check,Medium,STRIDE,REST API,Information Disclosure,30/50,High,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,Error responses leak implementation details to attackers.
t_5246d9ba,Re-identification of anonymized data,Standard check,High,LINDDUN,Database,Identifiability,35/50,High,No,T1213,Collection,CC6.1,A.18.1.4,3.4,"Quasi-identifiers (zip, DOB, gender) re-identify users in 'anonymous' exports."
t_2286dd5f,Third-party data leakage,Standard check,High,LINDDUN,Database,Disclosure of information,35/50,High,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,PII shared with analytics/ad SDKs without consent.
t_95b5795a,GDPR / CCPA gaps for personal data,Standard check,High,LINDDUN,Database,Non-compliance,35/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Personal data (PII) triggers GDPR / CCPA duties: lawful basis, DSAR handling, retention limits, and data-residency controls."
t_a9a1cfe2,HIPAA gaps for health data (PHI),Standard check,High,LINDDUN,Database,Non-compliance,35/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Protected health information triggers HIPAA duties: BAAs, minimum-necessary access, audit controls, and breach notification."
t_4565591e,PCI-DSS gaps for cardholder data,Standard check,High,LINDDUN,Database,Non-compliance,35/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Cardholder data triggers PCI-DSS: scope segmentation, tokenization / no-store of PANs, and key management."
t_3b758ff9,Third-party data leakage,Standard check,High,LINDDUN,REST API,Disclosure of information,39/50,High,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,PII shared with analytics/ad SDKs without consent.
t_7495e27a,GDPR / CCPA gaps for personal data,Standard check,High,LINDDUN,REST API,Non-compliance,39/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Personal data (PII) triggers GDPR / CCPA duties: lawful basis, DSAR handling, retention limits, and data-residency controls."
t_9121f080,HIPAA gaps for health data (PHI),Standard check,High,LINDDUN,REST API,Non-compliance,39/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Protected health information triggers HIPAA duties: BAAs, minimum-necessary access, audit controls, and breach notification."
t_64325aec,PCI-DSS gaps for cardholder data,Standard check,High,LINDDUN,REST API,Non-compliance,39/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Cardholder data triggers PCI-DSS: scope segmentation, tokenization / no-store of PANs, and key management."
t_0b130f5e,GDPR / CCPA gaps for personal data,Standard check,High,LINDDUN,User,Non-compliance,36/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Personal data (PII) triggers GDPR / CCPA duties: lawful basis, DSAR handling, retention limits, and data-residency controls."
t_650c0e1a,HIPAA gaps for health data (PHI),Standard check,High,LINDDUN,User,Non-compliance,36/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Protected health information triggers HIPAA duties: BAAs, minimum-necessary access, audit controls, and breach notification."
t_c6a79579,PCI-DSS gaps for cardholder data,Standard check,High,LINDDUN,User,Non-compliance,36/50,High,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,"Cardholder data triggers PCI-DSS: scope segmentation, tokenization / no-store of PANs, and key management."
t_e16b24fd,Cross-service user linkability,Standard check,Medium,LINDDUN,Database,Linkability,25/50,Medium,No,T1213,Collection,CC6.1,A.18.1.4,3.4,"Identifiers (emails, device IDs) let separate datasets be joined to profile a user."
t_df9d9bf9,Excessive data collection,Standard check,Medium,LINDDUN,Database,Disclosure of information,25/50,Medium,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,System collects more PII than needed for its purpose.
t_9d0f333d,Cross-service user linkability,Standard check,Medium,LINDDUN,REST API,Linkability,29/50,Medium,No,T1213,Collection,CC6.1,A.18.1.4,3.4,"Identifiers (emails, device IDs) let separate datasets be joined to profile a user."
t_ac123878,Excessive data collection,Standard check,Medium,LINDDUN,REST API,Disclosure of information,29/50,Medium,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,System collects more PII than needed for its purpose.
t_293781de,Lack of transparent privacy notice,Standard check,Medium,LINDDUN,REST API,Unawareness,29/50,Medium,No,T1213,Collection,CC6.1,A.18.1.4,3.4,Users don't know what data is collected or for what purpose.
t_c9b53125,Forced attribution of sensitive actions,Standard check,Low,LINDDUN,REST API,Non-repudiation,19/50,Low,No,T1562.008,Defense Evasion,CC7.2,A.12.4.1,10.2,User cannot deny a sensitive action even when they should have plausible deniability.
t_e9f92c68,Manual step — map business impact & asset owners,Standard check,Info,PASTA,Database,Stage 1 — Business Objectives,10/50,Low,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,"PASTA Stage 1 requires defining business objectives and impact tiers. The tool does NOT determine this automatically: assign an owner and a business-impact tier to each component, and record revenue/regulatory exposure."
t_413bc6e0,Manual step — enumerate dependencies & run SCA,Standard check,Info,PASTA,Database,Stage 2 — Technical Scope,10/50,Low,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,PASTA Stage 2 requires a dependency/SBOM inventory and CVE analysis. The tool does NOT scan dependencies: run SCA (e.g. dependabot/trivy) and attach the SBOM to complete this stage.
